practitioner_role_id,location_id,location_reference
c3faefe2-6b71-444f-a42d-847183fab753,3d3d4196-0eb8-4f96-a682-77d9d773376d,Location/3d3d4196-0eb8-4f96-a682-77d9d773376d
c3faefe2-6b71-444f-a42d-847183fab753,01e4433c-578b-47ba-8f9b-c0a018f3b825,Location/01e4433c-578b-47ba-8f9b-c0a018f3b825
c3faefe2-6b71-444f-a42d-847183fab753,c076bc61-e437-4971-b136-be01cebea360,Location/c076bc61-e437-4971-b136-be01cebea360
2b081246-e655-44ae-bb3b-17f65d47cc54,e3480a92-3c1a-451c-946f-c337eb7920ed,Location/e3480a92-3c1a-451c-946f-c337eb7920ed
aec4ba0f-8b2d-4a99-9b41-6a2f6eb91265,ad48b561-a3c3-4a59-9acf-3912435e9f68,Location/ad48b561-a3c3-4a59-9acf-3912435e9f68
aec4ba0f-8b2d-4a99-9b41-6a2f6eb91265,78f6b5a9-bb24-4f7c-9467-91d21642bdb6,Location/78f6b5a9-bb24-4f7c-9467-91d21642bdb6
aec4ba0f-8b2d-4a99-9b41-6a2f6eb91265,a340bc68-5db7-44b8-9a48-642e53c8c7fa,Location/a340bc68-5db7-44b8-9a48-642e53c8c7fa
aec4ba0f-8b2d-4a99-9b41-6a2f6eb91265,ba2222aa-5c38-4e82-9455-d093cebba8bc,Location/ba2222aa-5c38-4e82-9455-d093cebba8bc
453875cf-12a0-4671-86bb-0f2a14e83ecf,69fdfee8-d248-4363-b679-43e31cc33791,Location/69fdfee8-d248-4363-b679-43e31cc33791
453875cf-12a0-4671-86bb-0f2a14e83ecf,23c84cfe-5a96-4aa3-9241-30b152df961d,Location/23c84cfe-5a96-4aa3-9241-30b152df961d
453875cf-12a0-4671-86bb-0f2a14e83ecf,e2f30710-5925-4c00-bbcb-6abdb69df120,Location/e2f30710-5925-4c00-bbcb-6abdb69df120
a6d9211b-5b75-4645-95f2-f273b00c40da,fb254946-a693-4b82-8773-a2ddd9b52826,Location/fb254946-a693-4b82-8773-a2ddd9b52826
